"","土地面積","建物面積","屋齡","房屋樓層","車位數目","有無管理","時間序列","單價萬_坪","lon","lat","road.name","price.level","X"
"3203",29.89,67.47565,NA,"14",1,1,4,201553.719008264,120.995618,24.801476,"新竹市新竹巿建中路91~120號","20~25W",1132
"3204",35.86,82.222525,2,"22",2,1,7,224796.694214876,121.013885,24.786795,"新竹市新竹巿龍山東路271~300號","20~25W",1133
"3205",35.86,80.159475,2,"22",2,1,5,224238.016528926,121.013935,24.78675,"新竹市新竹巿龍山東路271~300號","20~25W",1134
"3206",19.8,53.763325,1,"15",2,1,6,124621.487603306,120.9529,24.798291,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1135
"3207",18.07,50.62035,1,"15",2,1,6,125639.669421488,120.95286,24.798327,"新竹市新竹巿經國路三段92巷16弄31~60號","10~15W",1136
"3208",17.21,43.387575,1,"15",1,1,6,141745.454545455,120.952771,24.798417,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1137
"3209",38.43,111.970375,20,"12",0,1,7,98241.3223140496,120.9281,24.787681,"新竹市新竹巿中華路五段31~60號","<10W",1138
"3210",34.82,125.812775,13,"14",1,1,7,47689.2561983471,120.957124,24.769129,"新竹市新竹巿富群街1~30號","<10W",1139
"3211",20.88,59.5804,5,"14",1,1,6,226585.123966942,121.017178,24.785169,"新竹市新竹巿關新路19巷61~90號","20~25W",1140
"3212",22.38,66.383625,1,"15",3,1,6,122770.247933884,120.9529,24.798291,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1141
"3213",22.38,67.654125,1,"15",3,1,6,125639.669421488,120.95289,24.7983,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1142
"3214",23.24,63.068225,1,"15",2,1,6,135566.94214876,120.952959,24.798245,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1143
"3215",22.38,61.676725,1,"15",2,1,6,133276.033057851,120.952821,24.798363,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1144
"3216",21.52,60.90535,1,"15",2,1,6,136277.685950413,120.95286,24.798327,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1145
"3217",18.07,44.863775,1,"15",1,1,6,135966.94214876,120.953019,24.798191,"新竹市新竹巿經國路三段92巷16弄31~60號","10~15W",1146
"3218",19.8,53.763325,1,"15",2,1,6,126479.338842975,120.95286,24.798327,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1147
"3219",17.21,43.86855,1,"15",1,1,6,143609.917355372,120.95294,24.798263,"新竹市新竹巿經國路三段92巷16弄31~60號","10~15W",1148
"3220",18.07,45.184425,1,"15",1,1,6,143854.545454545,120.953039,24.798173,"新竹市新竹巿經國路三段92巷16弄31~60號","10~15W",1149
"3221",17.21,43.9109,1,"15",1,1,6,138919.008264463,120.953009,24.798191,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1150
"3222",17.21,44.54615,1,"15",1,1,6,145692.561983471,120.95286,24.798336,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1151
"3223",16.35,42.955,1,"15",1,1,6,138750.41322314,120.953009,24.7982,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1152
"3224",11.19,31.281525,1,"15",1,1,6,134264.462809917,120.95288,24.798318,"新竹市新竹巿經國路三段92巷1~30號","10~15W",1153
"3225",14.63,36.9534,1,"15",1,1,6,139365.289256198,120.95293,24.798263,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1154
"3226",19.8,49.982075,1,"15",1,1,6,155054.545454545,120.953058,24.798146,"新竹市新竹巿經國路三段92巷16弄61~90號","15~20W",1155
"3227",17.21,43.86855,1,"15",1,1,6,144750.41322314,120.952999,24.7982,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1156
"3228",16.35,42.31975,1,"15",1,1,6,148158.67768595,120.953029,24.798182,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1157
"3229",16.35,42.955,1,"15",1,1,6,148294.214876033,120.953048,24.798155,"新竹市新竹巿經國路三段92巷16弄1~30號","10~15W",1158
"3230",11.19,32.709325,1,"15",1,1,6,136657.851239669,120.95293,24.798263,"新竹市新竹巿經國路三段92巷1~30號","10~15W",1159
"3231",13.77,40.241575,1,"15",2,1,6,124499.173553719,120.952999,24.7982,"新竹市新竹巿經國路三段92巷1~30號","10~15W",1160
